,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Weight_pound,Screen_Size_inch,CPU_frequency_norm,Price_binned,Screen-Full_HD,Screen-IPS_Panel
0,Acer,4,2,1,5,35.56,1.6,8,256,1.6,978,3.53,14.0,0.5517241379310345,Low,False,True
1,Dell,3,1,1,3,39.62,2.0,4,256,2.2,634,4.85,15.6,0.6896551724137931,Low,True,False
2,Dell,3,1,1,7,39.62,2.7,8,256,2.2,946,4.85,15.6,0.9310344827586208,Low,True,False
3,Dell,4,2,1,5,33.78,1.6,8,128,1.22,1244,2.69,13.3,0.5517241379310345,Low,False,True
4,HP,4,2,1,7,39.62,1.8,8,256,1.91,837,4.21,15.6,0.6206896551724138,Low,True,False
5,Dell,3,1,1,5,39.62,1.6,8,256,2.2,1016,4.85,15.6,0.5517241379310345,Low,True,False
6,HP,3,3,1,5,39.62,1.6,8,256,2.1,1117,4.63,15.6,0.5517241379310345,Low,True,False
7,Acer,3,2,1,5,38.1,1.6,4,256,2.2,866,4.85,15.0,0.5517241379310345,Low,False,True
8,Dell,3,1,1,5,39.62,2.5,4,256,2.3,812,5.07,15.6,0.8620689655172414,Low,True,False
9,Acer,3,3,1,7,38.1,1.8,8,256,2.2,1068,4.85,15.0,0.6206896551724138,Low,False,True
10,Dell,3,1,1,7,39.62,1.8,8,256,2.13,975,4.7,15.6,0.6206896551724138,Low,True,False
11,HP,3,2,1,3,39.62,2.0,4,128,1.91,558,4.21,15.6,0.6896551724137931,Low,True,False
12,Asus,3,2,2,3,39.62,2.0,4,256,2.0,527,4.41,15.6,0.6896551724137931,Low,True,False
13,Dell,4,2,1,5,35.56,1.6,8,256,1.7,1117,3.75,14.0,0.5517241379310345,Low,True,False
14,Asus,3,2,1,5,35.56,1.6,8,256,1.4,1195,3.09,14.0,0.5517241379310345,Low,True,False
15,HP,3,2,1,5,39.62,2.5,8,256,1.86,876,4.1,15.6,0.8620689655172414,Low,True,False
16,Dell,4,1,1,7,33.02,1.8,8,256,1.4,1213,3.09,13.0,0.6206896551724138,Low,False,True
17,Dell,3,1,1,7,39.62,1.8,8,256,2.2,1105,4.85,15.6,0.6206896551724138,Low,True,False
18,Dell,4,2,1,5,38.1,1.6,8,256,1.88,1392,4.14,15.0,0.5517241379310345,Low,False,True
19,HP,3,2,1,5,35.56,1.6,8,256,1.63,1092,3.59,14.0,0.5517241379310345,Low,True,False
